Direction,From,To,Time (UTC),Time (local),Message,Profile,Origin path,Is deleted,Label
Outgoing,Sergio Johnson,Brian Brown,01/14/2025 22:34,01/15/2025 06:34,assignment siap?,,,False,normal
Outgoing,Melissa Stevens,Amy Keith,01/19/2025 14:32,01/19/2025 22:32,ok see you tomorrow,,,False,normal
Incoming,Gregory Lopez,David Moore,01/10/2025 04:48,01/10/2025 12:48,holiday plan,,,False,normal
Incoming,James Butler,David Barber,01/21/2025 02:02,01/21/2025 10:02,holiday plan,,,False,normal
Outgoing,Amanda Gray,Vanessa Bell,01/02/2025 07:11,01/02/2025 15:11,smoke,,,False,drug
Incoming,Eric Ray,James Murray,01/08/2025 13:45,01/08/2025 21:45,ubat kuat,,,False,drug
Incoming,Jason Bass,Amy Molina,01/15/2025 23:49,01/16/2025 07:49,see you at mall,,,False,normal
Outgoing,Mitchell Russell,Patty Williams,01/12/2025 06:27,01/12/2025 14:27,good night,,,False,normal
Outgoing,Melissa Rodriguez,Brandon Cross,01/05/2025 01:38,01/05/2025 09:38,ice,,,False,drug
Incoming,Richard Peterson,Phillip Stevens,01/15/2025 03:39,01/15/2025 11:39,later go movie,,,False,normal
Incoming,James Baldwin,Jennifer Rodriguez,01/11/2025 17:18,01/12/2025 01:18,later go movie,,,False,normal
Incoming,Lauren Joseph,Raymond Rivera,01/11/2025 04:11,01/11/2025 12:11,on the way,,,False,normal
Incoming,Alan Cruz,Joseph Snow,01/22/2025 09:07,01/22/2025 17:07,jom makan,,,False,normal
Incoming,Dustin Santiago,Paul Thompson,01/21/2025 21:13,01/22/2025 05:13,working late,,,False,normal
Incoming,Brandon Wheeler,Ronald Hernandez,01/22/2025 20:12,01/23/2025 04:12,exam coming soon,,,False,normal
Outgoing,Jane Mckenzie,George Mcgee,01/11/2025 10:49,01/11/2025 18:49,drive safe,,,False,normal
Incoming,Jennifer Stein,Richard Chen,01/13/2025 22:52,01/14/2025 06:52,working late,,,False,normal
Outgoing,Hector Thompson,Samantha Bradley,01/20/2025 03:12,01/20/2025 11:12,ok see you tomorrow,,,False,normal
Outgoing,Julia Cross,Mark Shepard,01/22/2025 01:39,01/22/2025 09:39,working late,,,False,normal
Outgoing,Samantha Lawson,William Romero,01/05/2025 21:43,01/06/2025 05:43,stuff,,,False,drug
Incoming,Sandra Johnson,Patricia Marsh,01/22/2025 15:47,01/22/2025 23:47,football match best,,,False,normal
Outgoing,Stacy Mcgee,Joanna Jackson,01/15/2025 06:57,01/15/2025 14:57,meeting at 3pm,,,False,normal
Outgoing,Mandy Long,Alicia Bennett,01/09/2025 18:44,01/10/2025 02:44,smoke,,,False,drug
Outgoing,Maria Peterson,Yvette Reed,01/19/2025 17:45,01/20/2025 01:45,working late,,,False,normal
Incoming,Jeremy Sanders,Jill Poole,01/08/2025 00:43,01/08/2025 08:43,ambil barang,,,False,drug
Outgoing,Scott Collins,Matthew Willis,01/07/2025 08:21,01/07/2025 16:21,check line,,,False,drug
Outgoing,Howard Myers,Jacob Blanchard,01/21/2025 22:43,01/22/2025 06:43,shopping,,,False,normal
Outgoing,Brooke Villarreal,Wayne Herman,01/16/2025 01:47,01/16/2025 09:47,catch up later,,,False,normal
Incoming,Joyce Guzman,Ryan Moore,01/11/2025 05:26,01/11/2025 13:26,working late,,,False,normal
Incoming,Daniel Lopez,David Munoz MD,01/22/2025 07:44,01/22/2025 15:44,meeting at 3pm,,,False,normal
Outgoing,Isaiah Butler,Angela Smith,01/18/2025 22:43,01/19/2025 06:43,shopping,,,False,normal
Incoming,Ian Black,Kelsey Moran,01/03/2025 22:46,01/04/2025 06:46,one g,,,False,drug
Outgoing,Jonathan Wood,Andrew Decker,01/03/2025 12:02,01/03/2025 20:02,gram,,,False,drug
Incoming,Deborah Nichols,Marcus Lee,01/09/2025 20:56,01/10/2025 04:56,货 ready,,,False,drug
Incoming,Edwin Castro,Rachel Cummings,01/05/2025 10:53,01/05/2025 18:53,冰毒,,,False,drug
Incoming,Pamela Bright,Michelle Doyle,01/08/2025 17:02,01/09/2025 01:02,ambil barang,,,False,drug
Outgoing,Samantha Mitchell,Mr. Nicholas Mccarty MD,01/11/2025 12:17,01/11/2025 20:17,family dinner,,,False,normal
Outgoing,Donald Chung,Eric Phillips,01/03/2025 09:43,01/03/2025 17:43,火,,,False,drug
Incoming,Alison Li,Danny Rivera,01/11/2025 15:56,01/11/2025 23:56,jom makan,,,False,normal
Incoming,Christopher Taylor,Grace Jones,01/10/2025 17:01,01/11/2025 01:01,on the way,,,False,normal
Outgoing,Rebecca Williams,Chelsea Mann,01/20/2025 13:43,01/20/2025 21:43,how are you?,,,False,normal
Incoming,Dalton Carney,Anna Fisher,01/16/2025 17:33,01/17/2025 01:33,meeting at 3pm,,,False,normal
Incoming,April Long MD,Katie Sanders,01/14/2025 20:55,01/15/2025 04:55,jalan-jalan,,,False,normal
Outgoing,Dr. Jacqueline Gonzalez,Anthony Fernandez,01/18/2025 01:57,01/18/2025 09:57,how are you?,,,False,normal
Incoming,Andrew Frye,Mark Nguyen,01/10/2025 15:32,01/10/2025 23:32,drive safe,,,False,normal
Incoming,Samantha Moore,Melissa Jones,01/09/2025 07:48,01/09/2025 15:48,冰毒,,,False,drug
Incoming,Emily Newton,Martin Scott,01/09/2025 16:35,01/10/2025 00:35,check line,,,False,drug
Incoming,Amy Marshall,Erika Reynolds,01/02/2025 12:21,01/02/2025 20:21,smoke,,,False,drug
Incoming,Roy Miller,Travis Cox,01/15/2025 12:31,01/15/2025 20:31,drive safe,,,False,normal
Outgoing,Kelly Brown,Alec Moore,01/05/2025 18:28,01/06/2025 02:28,paket,,,False,drug
Outgoing,Jeffery Henry,Mr. Patrick Durham PhD,01/17/2025 21:53,01/18/2025 05:53,see you at mall,,,False,normal
Incoming,Tiffany Rice,Mark Singh,01/21/2025 18:41,01/22/2025 02:41,family dinner,,,False,normal
Incoming,Felicia Baker,Jeffrey Kim,01/03/2025 14:27,01/03/2025 22:27,budak hantar,,,False,drug
Incoming,Leah Jackson MD,Christina Reyes,01/20/2025 07:22,01/20/2025 15:22,game tonight,,,False,normal
Outgoing,Daniel Mcclain,Danielle Stark,01/20/2025 20:38,01/21/2025 04:38,family dinner,,,False,normal
Incoming,Troy Lewis,Emily Gilbert,01/03/2025 01:36,01/03/2025 09:36,barang ori,,,False,drug
Incoming,Jonathan Jones,Connie Shah,01/17/2025 21:35,01/18/2025 05:35,jalan-jalan,,,False,normal
Incoming,Paula Holden,Stephen Meadows,01/15/2025 14:00,01/15/2025 22:00,ok see you tomorrow,,,False,normal
Outgoing,Jillian Blackwell,Gregory Williams,01/02/2025 01:02,01/02/2025 09:02,gram,,,False,drug
Outgoing,Connie Zimmerman,Robert Carroll,01/19/2025 08:43,01/19/2025 16:43,game tonight,,,False,normal
Incoming,Eugene Young,Brian Clarke,01/04/2025 01:25,01/04/2025 09:25,ubat kuat,,,False,drug
Incoming,Robert Burns,Kelly Patel,01/12/2025 18:44,01/13/2025 02:44,how are you?,,,False,normal
Outgoing,Robert Jackson,Kyle Lee,01/19/2025 00:17,01/19/2025 08:17,working late,,,False,normal
Outgoing,Renee Le,Amber Hansen,01/04/2025 18:34,01/05/2025 02:34,port biasa,,,False,drug
Outgoing,Jordan Thomas,Lisa Crawford,01/04/2025 00:19,01/04/2025 08:19,gram,,,False,drug
Outgoing,Nicole Chen,Kimberly Zamora,01/21/2025 18:49,01/22/2025 02:49,later go movie,,,False,normal
Incoming,Brandon Martin,Tracy Park,01/03/2025 17:29,01/04/2025 01:29,ambil barang,,,False,drug
Incoming,Michelle Ellis,Robert Henry MD,01/03/2025 13:45,01/03/2025 21:45,barang ori,,,False,drug
Incoming,Kristina Davis,William Johnson,01/15/2025 22:15,01/16/2025 06:15,holiday plan,,,False,normal
Incoming,Elizabeth Payne,Sharon Moore,01/11/2025 21:56,01/12/2025 05:56,holiday plan,,,False,normal
Incoming,Patrick Nguyen,David Rios,01/16/2025 13:35,01/16/2025 21:35,meeting at 3pm,,,False,normal
Outgoing,Amy Mullins,Mark Scott,01/13/2025 11:02,01/13/2025 19:02,lunch break,,,False,normal
Incoming,Kevin Gates,Bradley Lee,01/01/2025 10:49,01/01/2025 18:49,half g,,,False,drug
Outgoing,Bailey Acevedo,Kristen Adams,01/22/2025 22:34,01/23/2025 06:34,working late,,,False,normal
Outgoing,Tracy Hensley,Andrew Wright,01/19/2025 22:56,01/20/2025 06:56,lunch break,,,False,normal
Incoming,Kelly Price,Molly Wyatt,01/19/2025 07:33,01/19/2025 15:33,good night,,,False,normal
Outgoing,Amanda Stewart,Daniel Bentley,01/02/2025 18:15,01/03/2025 02:15,货 ada,,,False,drug
Incoming,Eric Beck,Nathan Dean,01/12/2025 09:55,01/12/2025 17:55,ok see you tomorrow,,,False,normal
Outgoing,Patrick Gibbs,Scott Marks,01/18/2025 19:31,01/19/2025 03:31,jalan-jalan,,,False,normal
Outgoing,Jessica Anderson,Emily Wong,01/17/2025 07:54,01/17/2025 15:54,ok see you tomorrow,,,False,normal
Outgoing,Joseph Heath,Darius Lee,01/15/2025 05:46,01/15/2025 13:46,football match best,,,False,normal
Outgoing,Kevin Higgins,Emma Walton,01/19/2025 00:15,01/19/2025 08:15,apa khabar?,,,False,normal
Incoming,Wendy Fox,Matthew Williamson,01/16/2025 05:12,01/16/2025 13:12,catch up later,,,False,normal
Incoming,Brandi Harris,Jessica Palmer,01/16/2025 14:00,01/16/2025 22:00,football match best,,,False,normal
Outgoing,Mary Carson,Amanda Key,01/08/2025 09:18,01/08/2025 17:18,smoke,,,False,drug
Outgoing,Jonathan Sanchez,Jordan Davis,01/06/2025 22:45,01/07/2025 06:45,ice,,,False,drug
Incoming,Casey Castro,Daniel Johnson,01/04/2025 10:15,01/04/2025 18:15,port biasa,,,False,drug
Incoming,Isabella Cooke,Jillian Robinson,01/18/2025 20:19,01/19/2025 04:19,good night,,,False,normal
Outgoing,Dustin Mcclure,David Hall,01/22/2025 12:58,01/22/2025 20:58,drive safe,,,False,normal
Incoming,Theodore Jimenez,Brittany Martin,01/17/2025 09:25,01/17/2025 17:25,drive safe,,,False,normal
Incoming,Jodi Townsend,Christina Morgan,01/21/2025 09:12,01/21/2025 17:12,family dinner,,,False,normal
Outgoing,David Lester,Stephanie Gilbert,01/07/2025 02:50,01/07/2025 10:50,one g,,,False,drug
Incoming,Phillip Robles,Joel Jimenez,01/14/2025 22:05,01/15/2025 06:05,later go movie,,,False,normal
Outgoing,Michelle Peterson,Nancy Patterson,01/14/2025 06:45,01/14/2025 14:45,jalan-jalan,,,False,normal
Outgoing,Nathan Snyder,Helen Powell,01/17/2025 19:33,01/18/2025 03:33,working late,,,False,normal
Outgoing,Margaret Hendricks,Richard Kim,01/10/2025 05:26,01/10/2025 13:26,game tonight,,,False,normal
Incoming,David Ellis,Angela Ware,01/03/2025 03:23,01/03/2025 11:23,paket,,,False,drug
Incoming,Ashley Smith,Rebecca Larsen,01/08/2025 03:36,01/08/2025 11:36,ice,,,False,drug
Outgoing,Lynn Elliott,Rachel Baker,01/20/2025 16:56,01/21/2025 00:56,jalan-jalan,,,False,normal
Outgoing,Lisa Williams,John Wallace,01/02/2025 23:35,01/03/2025 07:35,pil kuda,,,False,drug
Outgoing,Mark Alvarado,Adam Bennett,01/07/2025 11:05,01/07/2025 19:05,冰毒,,,False,drug
Outgoing,Diana Murphy,Deborah Duarte,01/05/2025 07:53,01/05/2025 15:53,syabu,,,False,drug
Outgoing,Mr. William Mcintosh,Amy Howe,01/02/2025 05:18,01/02/2025 13:18,ice,,,False,drug
Incoming,Tara Mcbride,Rebecca Moore,01/12/2025 22:54,01/13/2025 06:54,jom makan,,,False,normal
Incoming,Jordan Ross,Connie Landry,01/13/2025 21:44,01/14/2025 05:44,how are you?,,,False,normal
Outgoing,Jason Madden,Sean Cook,01/11/2025 15:10,01/11/2025 23:10,holiday plan,,,False,normal
Outgoing,Lisa Henry,Joshua Cox,01/16/2025 16:49,01/17/2025 00:49,jalan-jalan,,,False,normal
Incoming,Michelle Baldwin,Stacy Solomon,01/06/2025 10:57,01/06/2025 18:57,火,,,False,drug
Incoming,Mary Mills,William Roberts,01/11/2025 18:40,01/12/2025 02:40,catch up later,,,False,normal
Incoming,Richard Yu,Bradley Cameron,01/04/2025 19:52,01/05/2025 03:52,冰毒,,,False,drug
Outgoing,Mark Small,Sarah Estrada,01/14/2025 02:17,01/14/2025 10:17,drive safe,,,False,normal
Outgoing,Jennifer Sandoval,Barbara Smith,01/18/2025 08:17,01/18/2025 16:17,shopping,,,False,normal
Outgoing,Steven Gallagher,John Savage,01/15/2025 11:36,01/15/2025 19:36,working late,,,False,normal
Outgoing,Tina Holmes,Denise Franco,01/17/2025 16:50,01/18/2025 00:50,jalan-jalan,,,False,normal
Outgoing,Latoya Bush,Taylor Richardson,01/02/2025 13:07,01/02/2025 21:07,冰毒,,,False,drug
Outgoing,Teresa Sloan,Michael Montoya,01/05/2025 20:06,01/06/2025 04:06,barang ori,,,False,drug
Incoming,Melissa Berger,Brittany Wagner DDS,01/02/2025 04:07,01/02/2025 12:07,line clear,,,False,drug
Outgoing,Andres Smith,Emily Moore,01/13/2025 18:59,01/14/2025 02:59,on the way,,,False,normal
Outgoing,Megan Warren,Robert Michael,01/17/2025 20:05,01/18/2025 04:05,good night,,,False,normal
Incoming,Brian Shaw DVM,Kristen Blackwell,01/11/2025 17:24,01/12/2025 01:24,catch up later,,,False,normal
Outgoing,Sonya Diaz,Alexander Mcclure,01/17/2025 17:39,01/18/2025 01:39,good night,,,False,normal
Incoming,Laura Flores,Alison Gonzalez,01/10/2025 07:36,01/10/2025 15:36,drive safe,,,False,normal
Incoming,Cindy Butler,Rebecca Espinoza PhD,01/11/2025 22:09,01/12/2025 06:09,apa khabar?,,,False,normal
Outgoing,Dustin Reid,Joseph Rivas,01/10/2025 04:05,01/10/2025 12:05,冰毒,,,False,drug
Outgoing,Mr. Charles Henry,Joshua Alexander,01/08/2025 08:41,01/08/2025 16:41,ambil barang,,,False,drug
Incoming,Daniel Le,Vanessa Stone,01/13/2025 13:56,01/13/2025 21:56,working late,,,False,normal
Incoming,John Deleon,Brandon Nguyen,01/08/2025 09:34,01/08/2025 17:34,syabu,,,False,drug
Incoming,Kristen Harrison,Michelle Lewis,01/15/2025 01:25,01/15/2025 09:25,good night,,,False,normal
Incoming,David Zavala,Emily Nelson,01/03/2025 01:42,01/03/2025 09:42,paket,,,False,drug
Outgoing,Kendra Kelly,Kevin Becker,01/17/2025 20:43,01/18/2025 04:43,football match best,,,False,normal
Outgoing,Kevin Velazquez,Mrs. Crystal Campbell DDS,01/05/2025 18:33,01/06/2025 02:33,one g,,,False,drug
Incoming,Erin Summers,Christy Brown,01/15/2025 02:46,01/15/2025 10:46,football match best,,,False,normal
Outgoing,Todd Doyle,Catherine Crawford,01/02/2025 02:33,01/02/2025 10:33,budak hantar,,,False,drug
Outgoing,Nancy Green,Justin Santos,01/03/2025 01:32,01/03/2025 09:32,syabu,,,False,drug
Incoming,William Morgan,Cody Richards,01/02/2025 01:16,01/02/2025 09:16,ambil barang,,,False,drug
Incoming,David Chase,Jason Nixon,01/16/2025 21:22,01/17/2025 05:22,later go movie,,,False,normal
Incoming,John Estrada,Lisa Preston,01/13/2025 00:58,01/13/2025 08:58,holiday plan,,,False,normal
Outgoing,Mr. Shane Brown,Michael Sullivan,01/03/2025 23:07,01/04/2025 07:07,rehab tak?,,,False,drug
Incoming,Brad Ross,Scott Jensen,01/21/2025 08:18,01/21/2025 16:18,drive safe,,,False,normal
Outgoing,Jessica Benjamin,Chris Richards,01/12/2025 06:25,01/12/2025 14:25,shopping,,,False,normal
Outgoing,Emily Webster,Jordan Smith,01/10/2025 00:00,01/10/2025 08:00,check line,,,False,drug
Incoming,David Reyes,Jody Butler,01/04/2025 07:53,01/04/2025 15:53,ambil barang,,,False,drug
Outgoing,Cassidy Rice,Matthew Roman,01/17/2025 00:53,01/17/2025 08:53,assignment siap?,,,False,normal
Outgoing,Rebecca Gillespie,Kristin Smith,01/10/2025 21:35,01/11/2025 05:35,game tonight,,,False,normal
Incoming,Andrew Bennett,Jessica Shaw,01/06/2025 08:13,01/06/2025 16:13,syabu,,,False,drug
Outgoing,Richard Taylor,Dale Brown PhD,01/15/2025 18:52,01/16/2025 02:52,football match best,,,False,normal
Incoming,Rhonda Barker,Jamie Hooper,01/03/2025 15:15,01/03/2025 23:15,ambil barang,,,False,drug
Incoming,Andrew Davenport,Rhonda Lee,01/12/2025 07:23,01/12/2025 15:23,football match best,,,False,normal
Outgoing,Leslie Hernandez,James Smith,01/18/2025 06:26,01/18/2025 14:26,how are you?,,,False,normal
Outgoing,Mark Baker,Vincent Pratt,01/12/2025 13:36,01/12/2025 21:36,on the way,,,False,normal
Incoming,Molly Cooper,Mark Williams,01/18/2025 06:12,01/18/2025 14:12,exam coming soon,,,False,normal
Incoming,Nicole Howard,Joseph Jones,01/16/2025 18:38,01/17/2025 02:38,lunch break,,,False,normal
Outgoing,Kristi Gonzalez,Diana Dean,01/06/2025 19:10,01/07/2025 03:10,货 ada,,,False,drug
Outgoing,William Morris,Mrs. Heather Brown,01/11/2025 01:54,01/11/2025 09:54,family dinner,,,False,normal
Incoming,Miss Elizabeth Gentry MD,John Benitez,01/11/2025 02:49,01/11/2025 10:49,later go movie,,,False,normal
Incoming,Kelsey Casey,Christina Campos,01/15/2025 19:26,01/16/2025 03:26,game tonight,,,False,normal
Incoming,David Fernandez,Jennifer Lane,01/07/2025 05:22,01/07/2025 13:22,paket,,,False,drug
Outgoing,Brandon Jackson,Jason Hartman MD,01/04/2025 07:07,01/04/2025 15:07,barang ori,,,False,drug
Outgoing,Courtney Murphy,James Barker,01/02/2025 12:42,01/02/2025 20:42,smoke,,,False,drug
Incoming,Gail Kelly,Crystal Terrell,01/07/2025 00:11,01/07/2025 08:11,one g,,,False,drug
Outgoing,Clifford Johnson,Clayton Anderson,01/04/2025 04:08,01/04/2025 12:08,火,,,False,drug
Incoming,Katherine Powell,Pamela Black,01/16/2025 03:35,01/16/2025 11:35,how are you?,,,False,normal
Incoming,Maria Aguilar,Omar Jones,01/16/2025 05:48,01/16/2025 13:48,on the way,,,False,normal
Outgoing,Blake Martin,Kerry Jackson,01/20/2025 09:19,01/20/2025 17:19,see you at mall,,,False,normal
Outgoing,Christopher Kline,Thomas Walker,01/15/2025 10:52,01/15/2025 18:52,holiday plan,,,False,normal
Outgoing,Nancy Stuart,Juan Jimenez,01/02/2025 11:01,01/02/2025 19:01,check line,,,False,drug
Outgoing,Jennifer Jones,Carlos Stewart,01/21/2025 05:12,01/21/2025 13:12,lunch break,,,False,normal
Incoming,Phyllis Thompson,Jeremy Glass,01/20/2025 01:36,01/20/2025 09:36,ok see you tomorrow,,,False,normal
Outgoing,Katelyn Castro,Catherine Wright,01/07/2025 04:08,01/07/2025 12:08,pil kuda,,,False,drug
Outgoing,Peter Owens,Thomas Ward,01/18/2025 19:19,01/19/2025 03:19,shopping,,,False,normal
Incoming,Kelsey Gaines,Kevin Dawson,01/02/2025 09:31,01/02/2025 17:31,smoke,,,False,drug
Incoming,Daniel Holloway,Brandon Santos,01/17/2025 20:42,01/18/2025 04:42,football match best,,,False,normal
Incoming,Susan Salinas,Stacie Turner,01/16/2025 21:40,01/17/2025 05:40,see you at mall,,,False,normal
Outgoing,Jerry Smith,Joan Lopez,01/13/2025 00:37,01/13/2025 08:37,jalan-jalan,,,False,normal
Incoming,Isabel Herring,Claudia Page,01/15/2025 05:24,01/15/2025 13:24,holiday plan,,,False,normal
Incoming,Veronica Kennedy,Sharon Jackson,01/11/2025 18:43,01/12/2025 02:43,how are you?,,,False,normal
Incoming,Jerry Roberts,Natalie Yu,01/20/2025 13:00,01/20/2025 21:00,assignment siap?,,,False,normal
Outgoing,Carol Oliver MD,Mr. Evan Gilbert,01/21/2025 08:14,01/21/2025 16:14,apa khabar?,,,False,normal
Incoming,Renee Hansen,Edward Richardson,01/08/2025 19:58,01/09/2025 03:58,stuff,,,False,drug
Outgoing,Janice Mullins,Sandra Wong,01/11/2025 21:14,01/12/2025 05:14,apa khabar?,,,False,normal
Incoming,April Barton,Daniel Arnold,01/03/2025 16:38,01/04/2025 00:38,line clear,,,False,drug
Outgoing,Adam Conner,Terry Anthony,01/12/2025 17:09,01/13/2025 01:09,drive safe,,,False,normal
Incoming,Daryl Smith,Christopher Williamson,01/19/2025 19:14,01/20/2025 03:14,holiday plan,,,False,normal
Incoming,Kristina Gonzalez,Shannon Graham,01/12/2025 02:12,01/12/2025 10:12,later go movie,,,False,normal
Incoming,Kevin Williams,Randy Smith,01/20/2025 22:30,01/21/2025 06:30,meeting at 3pm,,,False,normal
Incoming,Jose Peters,Mallory Dominguez,01/19/2025 05:55,01/19/2025 13:55,see you at mall,,,False,normal
Outgoing,John Evans,Gina Smith,01/09/2025 13:29,01/09/2025 21:29,冰毒,,,False,drug
Incoming,Aaron Smith,Angela Rodgers,01/04/2025 23:50,01/05/2025 07:50,货 ada,,,False,drug
Outgoing,Janice Smith,Dylan Turner,01/06/2025 00:08,01/06/2025 08:08,stuff,,,False,drug
Incoming,Tyler Rice,Carl Carroll,01/19/2025 11:23,01/19/2025 19:23,later go movie,,,False,normal
Incoming,Jennifer Wright,Alyssa Carr,01/15/2025 01:55,01/15/2025 09:55,good night,,,False,normal
Outgoing,Jennifer Molina,Eric Murphy,01/01/2025 20:20,01/02/2025 04:20,gram,,,False,drug
Incoming,Robin Fleming,Nicholas Thomas,01/18/2025 14:17,01/18/2025 22:17,how are you?,,,False,normal
Outgoing,Gerald Nixon,Alexandra Costa,01/11/2025 05:03,01/11/2025 13:03,lunch break,,,False,normal
Outgoing,Deborah Vargas,Rebecca Joyce,01/08/2025 19:35,01/09/2025 03:35,check line,,,False,drug
Incoming,Nancy Holder MD,Jessica Smith,01/09/2025 07:36,01/09/2025 15:36,budak hantar,,,False,drug
Outgoing,Patricia Baker,Vicki Castro MD,01/04/2025 09:26,01/04/2025 17:26,gram,,,False,drug
Incoming,Christopher Carter,Kim James,01/11/2025 19:12,01/12/2025 03:12,game tonight,,,False,normal
Outgoing,Eugene Sanchez,Margaret Campbell,01/15/2025 07:44,01/15/2025 15:44,drive safe,,,False,normal
Outgoing,Samuel Jones,William Vincent,01/09/2025 08:58,01/09/2025 16:58,stuff,,,False,drug
Outgoing,Cheyenne Hill,Linda Sandoval,01/09/2025 23:22,01/10/2025 07:22,stuff,,,False,drug
Incoming,Katie Wells,Emily Thompson,01/15/2025 22:07,01/16/2025 06:07,meeting at 3pm,,,False,normal
Outgoing,Michael Cunningham,Michael Contreras,01/09/2025 14:15,01/09/2025 22:15,冰毒,,,False,drug
Outgoing,Mary Klein,Ashley Jackson,01/16/2025 17:52,01/17/2025 01:52,lunch break,,,False,normal
Incoming,Melanie Reed,Katelyn Kline,01/21/2025 15:31,01/21/2025 23:31,lunch break,,,False,normal
Outgoing,Brandon Williams,Kayla Reyes,01/18/2025 21:14,01/19/2025 05:14,game tonight,,,False,normal
Outgoing,Gordon Jackson,Sarah Moore,01/22/2025 00:29,01/22/2025 08:29,apa khabar?,,,False,normal
Outgoing,Jimmy Carter,William Hernandez,01/21/2025 22:26,01/22/2025 06:26,family dinner,,,False,normal
Incoming,Sean James,Elizabeth Mendez,01/03/2025 10:30,01/03/2025 18:30,stuff,,,False,drug
Incoming,Ashley Brady,Jeremy Oneill,01/10/2025 04:23,01/10/2025 12:23,jom makan,,,False,normal
Outgoing,Amanda Wallace,Carla Sellers,01/11/2025 04:03,01/11/2025 12:03,on the way,,,False,normal
Incoming,Christopher Wells,Deborah Roberts MD,01/03/2025 14:16,01/03/2025 22:16,barang ori,,,False,drug
Incoming,Terry Mcconnell,Jennifer Edwards,01/18/2025 06:43,01/18/2025 14:43,on the way,,,False,normal
Incoming,Nicholas Hughes,Scott Stephens,01/08/2025 20:07,01/09/2025 04:07,stuff,,,False,drug
Outgoing,Zachary Lucas,Kyle Thomas,01/14/2025 02:21,01/14/2025 10:21,jalan-jalan,,,False,normal
Incoming,John Rice,Angela Duke,01/13/2025 03:49,01/13/2025 11:49,working late,,,False,normal
Outgoing,Leslie Taylor,Brandon Proctor,01/01/2025 16:03,01/02/2025 00:03,paket,,,False,drug
Incoming,Craig Jordan,Debbie Shepard,01/20/2025 14:04,01/20/2025 22:04,exam coming soon,,,False,normal
Incoming,Karen Bailey,George Boyer,01/17/2025 16:03,01/18/2025 00:03,shopping,,,False,normal
Outgoing,Jessica Jordan,Heather Smith,01/20/2025 22:06,01/21/2025 06:06,ok see you tomorrow,,,False,normal
Incoming,Christopher Miller,Veronica Carpenter,01/20/2025 12:57,01/20/2025 20:57,working late,,,False,normal
Outgoing,Mark Johnson,Andrew Walter,01/07/2025 07:08,01/07/2025 15:08,syabu,,,False,drug
Incoming,Melinda Webster,Jonathan Conley,01/06/2025 16:20,01/07/2025 00:20,smoke,,,False,drug
Incoming,Amanda Stevens,Dr. John Haas Jr.,01/11/2025 22:24,01/12/2025 06:24,game tonight,,,False,normal
Outgoing,Jennifer Stanley,Charles Brennan,01/11/2025 22:14,01/12/2025 06:14,jom makan,,,False,normal
Outgoing,Elizabeth Black,Melanie Ford,01/16/2025 22:13,01/17/2025 06:13,on the way,,,False,normal
Incoming,Adam Hughes,Steven Weaver,01/04/2025 15:36,01/04/2025 23:36,paket,,,False,drug
Incoming,Helen Kane,James Davis,01/03/2025 18:15,01/04/2025 02:15,gram,,,False,drug
Incoming,Alex Hart,Ryan Santana,01/13/2025 02:22,01/13/2025 10:22,jalan-jalan,,,False,normal
Outgoing,Deborah Rocha,Andrew Jones,01/09/2025 14:38,01/09/2025 22:38,货 ready,,,False,drug
Outgoing,Martin Carter,Lisa Mccoy,01/07/2025 22:37,01/08/2025 06:37,货 ready,,,False,drug
Outgoing,Jason Walsh,Susan Hughes,01/06/2025 16:48,01/07/2025 00:48,half g,,,False,drug
Incoming,Kayla Davis,Bobby Wong,01/03/2025 04:35,01/03/2025 12:35,budak hantar,,,False,drug
Outgoing,Gregory Garcia,George Smith,01/07/2025 21:30,01/08/2025 05:30,火,,,False,drug
Incoming,Brian Hess,David Walters,01/18/2025 12:51,01/18/2025 20:51,exam coming soon,,,False,normal
Incoming,Shawn Lopez,Hayley Gray,01/12/2025 09:30,01/12/2025 17:30,exam coming soon,,,False,normal
Outgoing,Alan Herrera,Susan Guzman,01/22/2025 03:11,01/22/2025 11:11,apa khabar?,,,False,normal
Incoming,Anna Brown MD,Dr. Jessica Williams,01/14/2025 01:36,01/14/2025 09:36,lunch break,,,False,normal
Incoming,Stacey Jacobson,Jessica Maxwell,01/12/2025 14:22,01/12/2025 22:22,drive safe,,,False,normal
Outgoing,Kimberly Wilson,Tom Stone,01/18/2025 11:01,01/18/2025 19:01,see you at mall,,,False,normal
Incoming,Lori Cobb,Eric Dean,01/21/2025 03:53,01/21/2025 11:53,jom makan,,,False,normal
Outgoing,Stacy Cowan,Tony Martin,01/05/2025 08:25,01/05/2025 16:25,barang ori,,,False,drug
Outgoing,Joseph Hopkins,Kelli Le,01/09/2025 01:30,01/09/2025 09:30,pil kuda,,,False,drug
Outgoing,Tanya Jefferson,Katie Grant,01/18/2025 13:30,01/18/2025 21:30,later go movie,,,False,normal
Outgoing,Bobby Conner,Kelly Rodriguez,01/15/2025 06:34,01/15/2025 14:34,game tonight,,,False,normal
Outgoing,Andrew Swanson,April Moss,01/09/2025 03:30,01/09/2025 11:30,check line,,,False,drug
Incoming,Lance Fletcher,Allen Riddle,01/12/2025 00:12,01/12/2025 08:12,family dinner,,,False,normal
Outgoing,Katherine Jackson,Joshua Warren,01/09/2025 12:13,01/09/2025 20:13,barang ori,,,False,drug
